Rank,Points,Name,Age,Nationality
1,32,BAZADZE Sandro,31,GE
2,26,NUCCIO Riccardo,33,IT
3,20,BERRE' Enrico,32,IT
3,20,PIANFETTI Maxime,26,FR
5,14,APITHY Bolade,39,FR
6,14,SZATMARI Andras,32,HU
7,14,PAKDAMAN Ali,34,IR
8,14,KIM Junho,31,KR
9,8,SZILAGYI Aron,35,HU
10,8,OH Sanguk,28,KR
11,8,CURATOLI Luca,30,IT
12,8,TEODOSIU Iulian,30,RO
13,8,GU Bongil,36,KR
14,8,SARON Mitchell,24,US
15,8,TORRE Pietro,23,IT
16,8,SEITZ Tom,31,FR
17,4,SZABO Matyas,33,DE
18,4,KIM Junghwan,41,KR
19,4,ELSISSY Ziad,30,EG
20,4,PATRICE Sebastien,25,FR
21,4,YILDIRIM Enver,29,TR
22,4,BONAH Raoul,26,DE
22,4,CAVALIERE Dario,28,IT
24,4,ALSHAMLAN Yousef,26,KW
25,4,DO Gyeongdong,25,KR
25,4,REPETTI Giovanni,36,IT
27,4,PARK Sangwon,24,KR
28,4,SINGH Karan Singh,26,IN
29,4,SHEN Chenpeng,23,CN
30,4,BAZADZE Beka,35,GE
31,4,DRAGOMIR George,26,RO
32,4,GIRAULT Evann Jean Abba,20,NE
33,2,SAMELE Luigi,37,IT
34,2,DERSHWITZ Eli,29,US
35,2,GALLO Michele,24,IT
36,2,BIBI Eliott,25,FR
37,2,HEATHCOCK Colin,19,US
37,2,NERI Matteo,26,IT
39,2,DODDO Andrew,26,US
39,2,WILLIAMS Grant,28,US
41,2,KOKUBO Mao,22,JP
42,2,LIANG Jianhao,28,CN
42,2,ZMAU Alexandru,23,RO
44,2,DEARY William,27,GB
44,2,ILIASZ Nicolas,33,HU
46,2,KEMPF Lorenz,28,DE
47,2,AMER Mohamed,27,EG
48,2,DOLEGIEWICZ Filip,24,US
49,2,YAGODKA Andriy,36,UA
50,2,BAHER ARASBARAN Farzad,31,IR
51,2,TOKUNAN Kenta,37,JP
52,2,HEATHCOCK Antonio,22,US
53,2,GEMESI Csanad,38,HU
54,2,LAMBERT Maxence,31,FR
55,2,MACKIEWICZ Andrew,29,US
56,2,STATSENKO Oleksiy,31,UA
57,2,SUNG Hyeonmo,25,KR
58,2,REA Mattia,23,IT
59,2,AYMURATOV Musa,20,UZ
60,2,MOATAZ Adham,22,EG
61,2,KINDLER Frederic,26,DE
62,2,RABB Krisztian,23,HU
63,2,PATRICE Jean-Philippe,28,FR
64,2,HA Hansol,31,KR
65,1,TSAP Yuriy,32,UA
66,1,LIN Xiao,24,CN
67,1,CUELLAR Sebastian,28,CO
68,1,MORRILL William,18,US
69,1,DECSI Tamas,42,HU
69,1,HOSHINO Kento,27,JP
71,1,STREETS Kaito,31,JP
72,1,KACZKOWSKI Krzysztof,27,PL
73,1,DI TELLA Pascual Maria,29,AR
74,1,SEEFELD Eric Simon,23,DE
75,1,YAN Yinghui,27,CN
76,1,ALMUTAIRI Adel,26,SA
77,1,FOTOUHI Mohammad,34,IR
78,1,GORDON Shaul,30,CA
79,1,BRAVO Inaki,27,ES
80,1,SCHNEIDER Benno,31,DE
81,1,GARRIGUE Remi,20,FR
81,1,YAMAN Furkan,18,TR
83,1,LEUNG Tin Ching,23,HK
84,1,CABALLERO Rogelio,24,ES
85,1,ALAMR Mohammed,21,SA
86,1,ANASIZ Muhammed,26,TR
87,1,CANTINI Edoardo,21,IT
88,1,COHEN Josef,26,US
89,1,CRESPO Christian,26,VE
89,1,HRYCIUK Szymon,22,PL
91,1,CIDU Matei,24,RO
92,1,REN Junming,24,HK
93,1,BONAH Luis,28,DE
94,1,HAYNES Luke,24,GB
95,1,XU Yingming,33,CN
96,1,GELINAS Marc,28,CA
97,0.5,ARFA Fares,30,CA
98,0.5,IAM Jethro,31,HK
99,0.5,YOSHIDA Kento,32,JP
100,0.5,SARKISSYAN Artyom,25,KZ
