Rank,Points,Name,Age,Nationality
1,247,OH Sanguk,28,KR
2,192,ELSISSY Ziad,30,EG
3,186,FERJANI Fares,27,TN
4,183,SAMELE Luigi,37,IT
5,157,SZABO Matyas,33,DE
6,156,PATRICE Sebastien,25,FR
7,150,HEATHCOCK Colin,19,US
9,139,BAZADZE Sandro,31,GE
10,133,CURATOLI Luca,30,IT
11,127,PAKDAMAN Ali,34,IR
12,120,SZILAGYI Aron,35,HU
13,114,AMER Mohamed,27,EG
14,113,MOATAZ Adham,22,EG
15,108,PIANFETTI Maxime,26,FR
16,105,GALLO Michele,24,IT
17,104,DERSHWITZ Eli,29,US
